order_id,product_id,quantity,unit_price,discount
1,55,4,16.78,0.0
1,89,2,15.09,0.0
1,3,1,210.73,0.0
2,102,3,104.68,0.0
2,7,1,23.82,0.1
2,65,4,759.55,0.0
2,84,3,62.27,0.0
2,21,4,82.02,0.2
3,114,1,14.07,0.0
3,112,1,10.05,0.0
4,2,4,26.52,0.0
4,93,3,68.0,0.0
5,20,2,17.08,0.1
5,12,3,61.23,0.0
5,84,4,62.27,0.0
5,74,1,36.95,0.0
5,17,4,30.4,0.0
6,10,3,121.49,0.0
6,63,1,19.91,0.0
6,40,3,72.98,0.0
7,37,2,921.79,0.1
8,29,3,102.09,0.0
8,96,1,13.59,0.1
8,64,4,248.26,0.0
9,32,1,37.01,0.0
9,38,1,37.51,0.0
9,64,1,248.26,0.0
9,10,2,121.49,0.0
10,85,4,22.44,0.0
10,115,4,22.31,0.1
10,69,3,149.0,0.0
10,39,1,813.85,0.0
10,42,1,13.33,0.0
11,116,1,340.28,0.15
11,52,3,15.79,0.0
11,14,1,74.09,0.0
12,36,2,76.85,0.0
12,118,2,369.42,0.0
12,47,4,25.63,0.0
13,47,4,25.63,0.0
13,87,1,400.13,0.0
13,43,1,23.13,0.0
13,111,3,36.67,0.0
13,20,1,17.08,0.0
14,20,2,17.08,0.0
14,64,1,248.26,0.0
14,63,1,19.91,0.0
14,95,1,31.66,0.1
14,21,4,82.02,0.0
15,4,1,30.61,0.0
16,2,3,26.52,0.15
17,51,2,37.61,0.0
17,23,4,25.86,0.1
17,75,1,350.21,0.0
17,92,2,66.97,0.0
17,78,3,137.74,0.1
18,99,4,38.04,0.1
18,80,3,21.1,0.2
18,46,4,1072.61,0.0
19,53,3,108.15,0.0
19,35,1,273.54,0.0
19,119,2,44.92,0.0
19,15,4,50.98,0.0
20,3,4,210.73,0.0
21,88,1,13.67,0.0
21,53,4,108.15,0.0
21,26,2,36.15,0.0
21,69,3,149.0,0.0
21,44,4,18.46,0.0
22,60,1,91.68,0.0
22,2,2,26.52,0.0
22,6,3,79.0,0.1
22,9,1,35.83,0.0
22,50,1,36.36,0.0
23,119,2,44.92,0.0
23,81,3,31.68,0.0
24,33,4,19.5,0.0
24,32,3,37.01,0.0
24,84,3,62.27,0.1
24,75,4,350.21,0.1
24,70,3,28.81,0.0
25,78,1,137.74,0.0
26,64,4,248.26,0.0
26,14,1,74.09,0.0
26,59,1,90.35,0.0
26,35,4,273.54,0.1
26,16,3,15.62,0.0
27,38,1,37.51,0.0
27,28,2,93.78,0.0
27,10,1,121.49,0.0
28,76,4,10.64,0.1
28,70,2,28.81,0.15
28,68,1,34.7,0.0
28,4,2,30.61,0.0
29,119,1,44.92,0.0
29,36,4,76.85,0.1
29,76,4,10.64,0.15
30,73,2,111.85,0.0
30,1,1,74.48,0.0
31,106,3,46.75,0.1
32,74,3,36.95,0.0
32,87,4,400.13,0.0
32,48,3,128.2,0.0
32,86,1,230.89,0.0
32,107,1,257.39,0.0
33,55,3,16.78,0.15
34,10,3,121.49,0.0
34,4,1,30.61,0.0
34,77,3,15.68,0.0
34,6,2,79.0,0.0
34,53,3,108.15,0.0
35,54,2,27.62,0.0
35,45,1,28.82,0.1
35,83,1,34.02,0.0
36,66,1,405.53,0.1
37,40,1,72.98,0.1
37,82,1,55.45,0.0
38,38,2,37.51,0.0
38,72,1,27.53,0.2
38,86,2,230.89,0.0
38,78,1,137.74,0.0
39,23,4,25.86,0.0
39,51,3,37.61,0.0
39,94,1,8.62,0.0
39,56,2,180.17,0.0
39,33,4,19.5,0.0
40,101,2,29.93,0.15
40,15,3,50.98,0.0
40,29,1,102.09,0.0
40,55,3,16.78,0.0
40,108,1,27.5,0.15
41,37,1,921.79,0.0
41,35,1,273.54,0.0
42,84,4,62.27,0.0
42,37,4,921.79,0.0
42,51,3,37.61,0.1
43,15,2,50.98,0.0
43,5,2,95.87,0.0
43,94,4,8.62,0.0
43,42,2,13.33,0.1
44,60,2,91.68,0.1
45,14,4,74.09,0.0
46,110,4,59.35,0.0
46,26,1,36.15,0.0
47,45,1,28.82,0.0
47,63,2,19.91,0.1
47,112,1,10.05,0.0
48,52,2,15.79,0.0
48,46,3,1072.61,0.1
48,22,1,133.91,0.0
49,82,4,55.45,0.0
50,116,1,340.28,0.1
50,95,3,31.66,0.1
50,37,1,921.79,0.15
50,99,1,38.04,0.0
51,42,4,13.33,0.0
52,88,1,13.67,0.1
53,25,1,11.98,0.1
53,101,2,29.93,0.0
53,5,3,95.87,0.0
53,49,1,23.55,0.0
53,85,1,22.44,0.0
54,2,3,26.52,0.0
54,108,1,27.5,0.0
54,112,3,10.05,0.0
55,103,4,101.9,0.0
56,60,1,91.68,0.0
56,24,1,20.63,0.0
56,36,2,76.85,0.2
56,33,1,19.5,0.0
56,71,3,114.05,0.0
57,99,2,38.04,0.0
57,60,3,91.68,0.0
58,113,3,570.95,0.1
