order_id,customer_id,order_date,channel
1,3,2024-02-05,Web
2,4,2024-12-28,In-Store
3,4,2024-12-28,Web
4,4,2024-12-29,Mobile
5,4,2024-12-30,In-Store
6,4,2024-12-29,Mobile
7,4,2024-12-30,Web
8,6,2024-11-06,In-Store
9,7,05/02/2024,Mobile
10,10,2024-11-28,In-Store
11,10,2024-03-21,Web
12,11,2024-07-05,Web
13,11,2023-10-17,In-Store
14,11,2023-10-02,Mobile
15,11,2023-07-03,Web
16,12,2024-07-10,Mobile
17,13,2024-11-21,Mobile
18,13,2024-10-31,Web
19,13,2024-12-02,Mobile
20,14,2024-03-02,Web
21,15,2024-06-07,Web
22,15,09/11/2024,Web
23,15,10/16/2024,Web
24,15,2024-06-10,Web
25,15,2024-08-20,Mobile
26,15,2024-12-28,Mobile
27,15,2024-11-03,In-Store
28,15,2024-12-06,Mobile
29,15,2024-11-07,Web
30,16,07/01/2024,Web
31,16,2024-10-23,Mobile
32,16,2024-12-18,Web
33,16,07/18/2024,Web
34,17,2024-12-09,Mobile
35,17,2024-10-25,Mobile
36,17,2024-04-19,Web
37,18,2024-11-14,Mobile
38,18,2024-11-22,Web
39,19,2024-10-04,Mobile
40,19,2024-12-24,Web
41,19,2024-10-30,Web
42,19,11/06/2024,Mobile
43,19,2024-11-28,Mobile
44,19,2024-12-06,In-Store
45,19,2024-10-25,Web
46,19,2024-11-17,Web
47,21,2024-08-14,In-Store
48,21,2023-12-10,Web
49,22,2024-12-30,In-Store
50,22,2024-12-30,Web
51,23,2024-11-17,Web
52,26,2024-06-17,Mobile
53,26,08/21/2024,Mobile
54,26,2024-04-19,Web
55,27,2024-12-28,Mobile
56,28,2024-10-29,Web
57,30,2024-11-21,Web
58,30,2024-10-29,Mobile
59,30,2024-11-26,Mobile
60,30,2024-10-19,Web
61,31,2024-12-26,Mobile
62,32,2024-03-09,Web
63,32,2024-11-22,Web
64,32,2024-08-29,Mobile
65,32,2024-11-02,Web
66,32,2024-05-13,Mobile
67,33,2024-12-29,Web
68,35,2024-01-03,Web
69,35,2023-06-08,Web
70,36,2023-09-25,Mobile
71,36,2024-07-03,Web
72,37,2023-09-18,In-Store
73,39,2024-11-06,Web
74,40,2024-03-10,In-Store
75,40,2024-02-24,In-Store
76,41,2024-11-13,Mobile
77,41,2024-06-14,In-Store
78,41,2024-04-07,Mobile
79,42,12/29/2024,Web
80,45,2024-02-11,Mobile
81,45,2024-09-22,Mobile
82,45,05/13/2024,Mobile
83,45,2024-08-18,In-Store
84,45,2023-11-25,Web
85,45,2023-11-24,Web
86,46,2024-01-21,In-Store
87,46,2024-12-17,Mobile
88,46,2024-12-27,Web
89,46,06/23/2024,Mobile
90,47,04/23/2024,In-Store
91,48,07/19/2024,Web
92,51,03/11/2024,Mobile
93,51,05/30/2024,In-Store
94,51,2023-12-03,Web
95,51,2024-08-14,Mobile
96,52,2024-04-12,Mobile
97,52,2024-05-25,In-Store
98,52,2024-12-24,In-Store
99,52,2023-12-13,In-Store
100,52,2023-09-10,In-Store
101,53,2024-12-06,Web
102,53,2024-11-14,Mobile
103,53,2024-11-11,Web
104,53,11/01/2024,Web
105,53,2024-12-21,In-Store
106,54,2024-11-23,Mobile
107,55,2024-08-20,Web
108,55,2024-11-18,Web
109,57,2024-02-04,Mobile
110,57,2023-12-29,Web
